id,price
0,367.794
1,357.35074
2,282.4873
3,360.16904
4,362.95093
5,362.1988
6,349.83206
7,253.67578
8,302.23022
9,302.74094
10,320.18674
11,374.4858
12,388.96188
13,368.27277
14,382.56146
15,273.1122
16,282.4901
17,433.52808
18,394.26834
19,340.31998
20,294.39917
21,353.11304
22,300.62997
23,429.8419
24,254.34238
25,271.768
26,412.79916
27,382.3816
28,367.40695
29,408.26733
30,348.18692
31,364.65945
32,460.12784
33,309.61072
34,380.70264
35,289.87082
36,404.0682
37,313.9281
38,455.9922
39,348.3403
40,375.07306
41,460.74475
42,316.17477
43,280.95255
44,385.0455
45,422.3108
46,301.48865
47,414.89523
48,392.75955
49,411.529
50,303.4104
51,361.02316
52,290.44998
53,261.7224
54,400.4203
55,258.46817
56,403.58365
57,384.94223
58,331.3977
59,360.89047
60,260.86108
61,289.0027
62,370.02325
63,264.65494
64,322.3484
65,418.8513
66,349.18414
67,324.14035
68,342.25433
69,357.67532
70,392.099
71,306.33533
72,398.10684
73,370.12878
74,293.0899
75,306.58737
76,318.6692
77,330.06918
78,370.34616
79,354.6683
80,420.5479
81,365.51376
82,300.51074
83,372.52496
84,357.23212
85,382.67804
86,332.0191
87,442.3261
88,183.38275
89,389.442
90,391.28244
91,222.74295
92,409.79593
93,323.5243
94,401.5691
95,319.94434
96,378.17242
97,306.4684
98,465.30252
99,261.51746
100,420.87653
101,329.43146
102,304.85147
103,402.8743
104,363.04068
105,319.8249
106,299.88547
107,352.93695
108,407.67712
109,392.43185
110,323.28616
111,263.86746
112,275.11774
113,405.83234
114,435.1041
115,354.6239
116,414.53897
117,404.3833
118,350.19907
119,415.6536
120,393.59927
121,264.45908
122,324.29263
123,349.3406
124,203.03287
125,413.30502
126,330.4381
127,377.0911
128,305.7769
129,283.81693
130,333.42126
131,392.8405
